Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
101_12,economia,,2010.0,100.0,ISTAT,2025-07-15
101_12,economia,,2011.0,110.0,ISTAT,2025-07-15
101_12,economia,,2012.0,116.4,ISTAT,2025-07-15
101_12,economia,,2013.0,118.5,ISTAT,2025-07-15
101_12,economia,,2014.0,115.9,ISTAT,2025-07-15
101_12,economia,,2015.0,111.7,ISTAT,2025-07-15
101_12,economia,,2016.0,110.2,ISTAT,2025-07-15
101_12,economia,,2017.0,118.7,ISTAT,2025-07-15
101_12,economia,,2010.0,100.0,ISTAT,2025-07-15
101_12,economia,,2011.0,110.0,ISTAT,2025-07-15
101_12,economia,,2012.0,116.4,ISTAT,2025-07-15
101_12,economia,,2013.0,118.5,ISTAT,2025-07-15
101_12,economia,,2014.0,115.9,ISTAT,2025-07-15
101_12,economia,,2015.0,111.7,ISTAT,2025-07-15
101_12,economia,,2016.0,110.2,ISTAT,2025-07-15
101_12,economia,,2017.0,118.7,ISTAT,2025-07-15
101_12,economia,,2015.0,100.0,ISTAT,2025-07-15
101_12,economia,,2016.0,98.3,ISTAT,2025-07-15
101_12,economia,,2017.0,106.5,ISTAT,2025-07-15
101_12,economia,,2018.0,102.7,ISTAT,2025-07-15
101_12,economia,,2019.0,103.1,ISTAT,2025-07-15
101_12,economia,,2020.0,99.6,ISTAT,2025-07-15
101_12,economia,,2021.0,106.1,ISTAT,2025-07-15
101_12,economia,,2022.0,130.4,ISTAT,2025-07-15
101_12,economia,,2015.0,100.0,ISTAT,2025-07-15
101_12,economia,,2016.0,98.3,ISTAT,2025-07-15
101_12,economia,,2017.0,106.5,ISTAT,2025-07-15
101_12,economia,,2018.0,102.7,ISTAT,2025-07-15
101_12,economia,,2019.0,103.1,ISTAT,2025-07-15
101_12,economia,,2020.0,99.6,ISTAT,2025-07-15
101_12,economia,,2021.0,106.1,ISTAT,2025-07-15
101_12,economia,,2022.0,130.4,ISTAT,2025-07-15
101_12,economia,,2015.0,,ISTAT,2025-07-15
101_12,economia,,2016.0,-1.7,ISTAT,2025-07-15
101_12,economia,,2017.0,8.3,ISTAT,2025-07-15
101_12,economia,,2018.0,-3.6,ISTAT,2025-07-15
101_12,economia,,2019.0,0.4,ISTAT,2025-07-15
101_12,economia,,2020.0,-3.4,ISTAT,2025-07-15
101_12,economia,,2021.0,6.5,ISTAT,2025-07-15
101_12,economia,,2022.0,22.9,ISTAT,2025-07-15
101_12,economia,,2015.0,,ISTAT,2025-07-15
101_12,economia,,2016.0,-1.7,ISTAT,2025-07-15
101_12,economia,,2017.0,8.3,ISTAT,2025-07-15
101_12,economia,,2018.0,-3.6,ISTAT,2025-07-15
101_12,economia,,2019.0,0.4,ISTAT,2025-07-15
101_12,economia,,2020.0,-3.4,ISTAT,2025-07-15
101_12,economia,,2021.0,6.5,ISTAT,2025-07-15
101_12,economia,,2022.0,22.9,ISTAT,2025-07-15
101_12,economia,,2010.0,100.0,ISTAT,2025-07-15
101_12,economia,,2011.0,111.3,ISTAT,2025-07-15
101_12,economia,,2012.0,120.8,ISTAT,2025-07-15
101_12,economia,,2013.0,123.4,ISTAT,2025-07-15
101_12,economia,,2014.0,121.1,ISTAT,2025-07-15
101_12,economia,,2015.0,113.3,ISTAT,2025-07-15
