Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
124_1157,istruzione,,2016,629672002,ISTAT,2025-07-15
124_1157,istruzione,,2017,745564051,ISTAT,2025-07-15
124_1157,istruzione,,2018,612744144,ISTAT,2025-07-15
124_1157,istruzione,,2019,521250666,ISTAT,2025-07-15
124_1157,istruzione,,2020,1027436935,ISTAT,2025-07-15
124_1157,istruzione,,2021,1019990410,ISTAT,2025-07-15
124_1157,istruzione,,2022,827206103,ISTAT,2025-07-15
124_1157,istruzione,,2016,629672002,ISTAT,2025-07-15
124_1157,istruzione,,2017,745564051,ISTAT,2025-07-15
124_1157,istruzione,,2018,612744144,ISTAT,2025-07-15
124_1157,istruzione,,2019,521250666,ISTAT,2025-07-15
124_1157,istruzione,,2020,1027436935,ISTAT,2025-07-15
124_1157,istruzione,,2021,1019990410,ISTAT,2025-07-15
124_1157,istruzione,,2022,827206103,ISTAT,2025-07-15
124_1157,istruzione,,2016,12324362637,ISTAT,2025-07-15
124_1157,istruzione,,2017,12197529891,ISTAT,2025-07-15
124_1157,istruzione,,2018,12166753319,ISTAT,2025-07-15
124_1157,istruzione,,2019,12364053076,ISTAT,2025-07-15
124_1157,istruzione,,2020,12603316637,ISTAT,2025-07-15
124_1157,istruzione,,2021,13518199032,ISTAT,2025-07-15
124_1157,istruzione,,2022,14679373302,ISTAT,2025-07-15
124_1157,istruzione,,2016,12324362637,ISTAT,2025-07-15
124_1157,istruzione,,2017,12197529891,ISTAT,2025-07-15
124_1157,istruzione,,2018,12166753319,ISTAT,2025-07-15
124_1157,istruzione,,2019,12364053076,ISTAT,2025-07-15
124_1157,istruzione,,2020,12603316637,ISTAT,2025-07-15
124_1157,istruzione,,2021,13518199032,ISTAT,2025-07-15
124_1157,istruzione,,2022,14679373302,ISTAT,2025-07-15
124_1157,istruzione,,2016,2718720780,ISTAT,2025-07-15
124_1157,istruzione,,2017,2677179049,ISTAT,2025-07-15
124_1157,istruzione,,2018,2671421315,ISTAT,2025-07-15
124_1157,istruzione,,2019,2743521263,ISTAT,2025-07-15
124_1157,istruzione,,2020,2767685322,ISTAT,2025-07-15
124_1157,istruzione,,2021,2892679996,ISTAT,2025-07-15
124_1157,istruzione,,2022,3214212878,ISTAT,2025-07-15
124_1157,istruzione,,2016,2718720780,ISTAT,2025-07-15
124_1157,istruzione,,2017,2677179049,ISTAT,2025-07-15
124_1157,istruzione,,2018,2671421315,ISTAT,2025-07-15
124_1157,istruzione,,2019,2743521263,ISTAT,2025-07-15
124_1157,istruzione,,2020,2767685322,ISTAT,2025-07-15
124_1157,istruzione,,2021,2892679996,ISTAT,2025-07-15
124_1157,istruzione,,2022,3214212878,ISTAT,2025-07-15
124_1157,istruzione,,2016,8505332171,ISTAT,2025-07-15
124_1157,istruzione,,2017,8488904922,ISTAT,2025-07-15
124_1157,istruzione,,2018,8629532713,ISTAT,2025-07-15
124_1157,istruzione,,2019,8903807287,ISTAT,2025-07-15
124_1157,istruzione,,2020,9180627972,ISTAT,2025-07-15
124_1157,istruzione,,2021,9926777897,ISTAT,2025-07-15
124_1157,istruzione,,2022,10785649494,ISTAT,2025-07-15
124_1157,istruzione,,2016,8505332171,ISTAT,2025-07-15
124_1157,istruzione,,2017,8488904922,ISTAT,2025-07-15
124_1157,istruzione,,2018,8629532713,ISTAT,2025-07-15
124_1157,istruzione,,2019,8903807287,ISTAT,2025-07-15
124_1157,istruzione,,2020,9180627972,ISTAT,2025-07-15
124_1157,istruzione,,2021,9926777897,ISTAT,2025-07-15
124_1157,istruzione,,2022,10785649494,ISTAT,2025-07-15
124_1157,istruzione,,2016,162791074,ISTAT,2025-07-15
124_1157,istruzione,,2017,133811378,ISTAT,2025-07-15
124_1157,istruzione,,2018,61047781,ISTAT,2025-07-15
124_1157,istruzione,,2019,39002453,ISTAT,2025-07-15
124_1157,istruzione,,2020,41245710,ISTAT,2025-07-15
124_1157,istruzione,,2021,41005179,ISTAT,2025-07-15
124_1157,istruzione,,2022,47447753,ISTAT,2025-07-15
124_1157,istruzione,,2016,162791074,ISTAT,2025-07-15
124_1157,istruzione,,2017,133811378,ISTAT,2025-07-15
124_1157,istruzione,,2018,61047781,ISTAT,2025-07-15
124_1157,istruzione,,2019,39002453,ISTAT,2025-07-15
124_1157,istruzione,,2020,41245710,ISTAT,2025-07-15
124_1157,istruzione,,2021,41005179,ISTAT,2025-07-15
124_1157,istruzione,,2022,47447753,ISTAT,2025-07-15
124_1157,istruzione,,2016,51261879,ISTAT,2025-07-15
124_1157,istruzione,,2017,71230335,ISTAT,2025-07-15
124_1157,istruzione,,2018,104087088,ISTAT,2025-07-15
124_1157,istruzione,,2019,87978112,ISTAT,2025-07-15
124_1157,istruzione,,2020,86898218,ISTAT,2025-07-15
124_1157,istruzione,,2021,93085277,ISTAT,2025-07-15
124_1157,istruzione,,2022,112147848,ISTAT,2025-07-15
124_1157,istruzione,,2016,51261879,ISTAT,2025-07-15
124_1157,istruzione,,2017,71230335,ISTAT,2025-07-15
124_1157,istruzione,,2018,104087088,ISTAT,2025-07-15
124_1157,istruzione,,2019,87978112,ISTAT,2025-07-15
124_1157,istruzione,,2020,86898218,ISTAT,2025-07-15
124_1157,istruzione,,2021,93085277,ISTAT,2025-07-15
124_1157,istruzione,,2022,112147848,ISTAT,2025-07-15
124_1157,istruzione,,2016,870776309,ISTAT,2025-07-15
124_1157,istruzione,,2017,825584616,ISTAT,2025-07-15
124_1157,istruzione,,2018,699518256,ISTAT,2025-07-15
124_1157,istruzione,,2019,588539565,ISTAT,2025-07-15
124_1157,istruzione,,2020,525791016,ISTAT,2025-07-15
124_1157,istruzione,,2021,562939898,ISTAT,2025-07-15
124_1157,istruzione,,2022,518343559,ISTAT,2025-07-15
124_1157,istruzione,,2016,870776309,ISTAT,2025-07-15
124_1157,istruzione,,2017,825584616,ISTAT,2025-07-15
124_1157,istruzione,,2018,699518256,ISTAT,2025-07-15
124_1157,istruzione,,2019,588539565,ISTAT,2025-07-15
124_1157,istruzione,,2020,525791016,ISTAT,2025-07-15
124_1157,istruzione,,2021,562939898,ISTAT,2025-07-15
124_1157,istruzione,,2022,518343559,ISTAT,2025-07-15
124_1157,istruzione,,2016,181289,ISTAT,2025-07-15
124_1157,istruzione,,2017,298054,ISTAT,2025-07-15
124_1157,istruzione,,2018,231957,ISTAT,2025-07-15
124_1157,istruzione,,2019,382799,ISTAT,2025-07-15
124_1157,istruzione,,2020,554161,ISTAT,2025-07-15
124_1157,istruzione,,2021,269886,ISTAT,2025-07-15
124_1157,istruzione,,2022,432139,ISTAT,2025-07-15
124_1157,istruzione,,2016,181289,ISTAT,2025-07-15
124_1157,istruzione,,2017,298054,ISTAT,2025-07-15
124_1157,istruzione,,2018,231957,ISTAT,2025-07-15
124_1157,istruzione,,2019,382799,ISTAT,2025-07-15
124_1157,istruzione,,2020,554161,ISTAT,2025-07-15
124_1157,istruzione,,2021,269886,ISTAT,2025-07-15
124_1157,istruzione,,2022,432139,ISTAT,2025-07-15
124_1157,istruzione,,2016,15299135,ISTAT,2025-07-15
124_1157,istruzione,,2017,521537,ISTAT,2025-07-15
124_1157,istruzione,,2018,914209,ISTAT,2025-07-15
124_1157,istruzione,,2019,821597,ISTAT,2025-07-15
124_1157,istruzione,,2020,514238,ISTAT,2025-07-15
124_1157,istruzione,,2021,1440899,ISTAT,2025-07-15
124_1157,istruzione,,2022,1139631,ISTAT,2025-07-15
124_1157,istruzione,,2016,15299135,ISTAT,2025-07-15
124_1157,istruzione,,2017,521537,ISTAT,2025-07-15
