Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
151_1178,lavoro,,,6.303654,ISTAT,2025-07-15
151_1178,lavoro,,,6.395505,ISTAT,2025-07-15
151_1178,lavoro,,,7.083021,ISTAT,2025-07-15
151_1178,lavoro,,,7.441317,ISTAT,2025-07-15
151_1178,lavoro,,,7.895214,ISTAT,2025-07-15
151_1178,lavoro,,,8.020177,ISTAT,2025-07-15
151_1178,lavoro,,,8.072034,ISTAT,2025-07-15
151_1178,lavoro,,,8.204128,ISTAT,2025-07-15
151_1178,lavoro,,,8.470929,ISTAT,2025-07-15
151_1178,lavoro,,,8.828551,ISTAT,2025-07-15
151_1178,lavoro,,,8.483625,ISTAT,2025-07-15
151_1178,lavoro,,,8.549727,ISTAT,2025-07-15
151_1178,lavoro,,,8.390908,ISTAT,2025-07-15
151_1178,lavoro,,,8.402505,ISTAT,2025-07-15
151_1178,lavoro,,,8.657009,ISTAT,2025-07-15
151_1178,lavoro,,,8.69691,ISTAT,2025-07-15
151_1178,lavoro,,,8.674994,ISTAT,2025-07-15
151_1178,lavoro,,,8.638423,ISTAT,2025-07-15
151_1178,lavoro,,,8.696402,ISTAT,2025-07-15
151_1178,lavoro,,,8.594011,ISTAT,2025-07-15
151_1178,lavoro,,,8.53947,ISTAT,2025-07-15
151_1178,lavoro,,,8.489326,ISTAT,2025-07-15
151_1178,lavoro,,,8.789342,ISTAT,2025-07-15
151_1178,lavoro,,,8.629823,ISTAT,2025-07-15
151_1178,lavoro,,,8.64704,ISTAT,2025-07-15
151_1178,lavoro,,,8.542234,ISTAT,2025-07-15
151_1178,lavoro,,,8.313173,ISTAT,2025-07-15
151_1178,lavoro,,,8.329344,ISTAT,2025-07-15
151_1178,lavoro,,,8.075734,ISTAT,2025-07-15
151_1178,lavoro,,,8.141935,ISTAT,2025-07-15
151_1178,lavoro,,,7.782073,ISTAT,2025-07-15
151_1178,lavoro,,,7.540236,ISTAT,2025-07-15
151_1178,lavoro,,,7.147282,ISTAT,2025-07-15
151_1178,lavoro,,,7.096216,ISTAT,2025-07-15
151_1178,lavoro,,,6.945504,ISTAT,2025-07-15
151_1178,lavoro,,,6.86544,ISTAT,2025-07-15
151_1178,lavoro,,,6.733712,ISTAT,2025-07-15
151_1178,lavoro,,,6.457292,ISTAT,2025-07-15
151_1178,lavoro,,,6.608704,ISTAT,2025-07-15
151_1178,lavoro,,,6.640337,ISTAT,2025-07-15
151_1178,lavoro,,,6.474085,ISTAT,2025-07-15
151_1178,lavoro,,,6.586707,ISTAT,2025-07-15
151_1178,lavoro,,,6.429493,ISTAT,2025-07-15
151_1178,lavoro,,,6.491294,ISTAT,2025-07-15
151_1178,lavoro,,,6.304286,ISTAT,2025-07-15
151_1178,lavoro,,,6.413878,ISTAT,2025-07-15
151_1178,lavoro,,,6.402983,ISTAT,2025-07-15
151_1178,lavoro,,,6.167709,ISTAT,2025-07-15
151_1178,lavoro,,,6.325203,ISTAT,2025-07-15
151_1178,lavoro,,,6.339112,ISTAT,2025-07-15
151_1178,lavoro,,,6.203529,ISTAT,2025-07-15
151_1178,lavoro,,,6.016745,ISTAT,2025-07-15
151_1178,lavoro,,,5.98751,ISTAT,2025-07-15
151_1178,lavoro,,,5.710492,ISTAT,2025-07-15
151_1178,lavoro,,,5.426009,ISTAT,2025-07-15
151_1178,lavoro,,,5.289963,ISTAT,2025-07-15
151_1178,lavoro,,,5.283785,ISTAT,2025-07-15
151_1178,lavoro,,,4.916277,ISTAT,2025-07-15
151_1178,lavoro,,,4.754228,ISTAT,2025-07-15
151_1178,lavoro,,,4.982593,ISTAT,2025-07-15
151_1178,lavoro,,,5.005397,ISTAT,2025-07-15
151_1178,lavoro,,,5.222723,ISTAT,2025-07-15
151_1178,lavoro,,,5.494819,ISTAT,2025-07-15
151_1178,lavoro,,,5.478754,ISTAT,2025-07-15
151_1178,lavoro,,,5.870421,ISTAT,2025-07-15
151_1178,lavoro,,,6.240231,ISTAT,2025-07-15
151_1178,lavoro,,,6.3748,ISTAT,2025-07-15
151_1178,lavoro,,,6.970013,ISTAT,2025-07-15
151_1178,lavoro,,,7.195249,ISTAT,2025-07-15
151_1178,lavoro,,,7.506479,ISTAT,2025-07-15
151_1178,lavoro,,,7.622711,ISTAT,2025-07-15
151_1178,lavoro,,,7.333114,ISTAT,2025-07-15
151_1178,lavoro,,,7.402322,ISTAT,2025-07-15
151_1178,lavoro,,,7.209204,ISTAT,2025-07-15
151_1178,lavoro,,,7.140089,ISTAT,2025-07-15
151_1178,lavoro,,,7.54269,ISTAT,2025-07-15
151_1178,lavoro,,,8.378761,ISTAT,2025-07-15
151_1178,lavoro,,,9.169596,ISTAT,2025-07-15
151_1178,lavoro,,,9.720478,ISTAT,2025-07-15
