Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
56_1045,territorio,,2015,3291,ISTAT,2025-07-15
56_1045,territorio,,2016,3606,ISTAT,2025-07-15
56_1045,territorio,,2017,4171,ISTAT,2025-07-15
56_1045,territorio,,2015,3291,ISTAT,2025-07-15
56_1045,territorio,,2016,3606,ISTAT,2025-07-15
56_1045,territorio,,2017,4171,ISTAT,2025-07-15
56_1045,territorio,,2016,4,ISTAT,2025-07-15
56_1045,territorio,,2016,4,ISTAT,2025-07-15
56_1045,territorio,,2015,1,ISTAT,2025-07-15
56_1045,territorio,,2015,1,ISTAT,2025-07-15
56_1045,territorio,,2015,330,ISTAT,2025-07-15
56_1045,territorio,,2016,377,ISTAT,2025-07-15
56_1045,territorio,,2017,456,ISTAT,2025-07-15
56_1045,territorio,,2015,330,ISTAT,2025-07-15
56_1045,territorio,,2016,377,ISTAT,2025-07-15
56_1045,territorio,,2017,456,ISTAT,2025-07-15
56_1045,territorio,,2015,895,ISTAT,2025-07-15
56_1045,territorio,,2016,1010,ISTAT,2025-07-15
56_1045,territorio,,2017,1117,ISTAT,2025-07-15
56_1045,territorio,,2015,895,ISTAT,2025-07-15
56_1045,territorio,,2016,1010,ISTAT,2025-07-15
56_1045,territorio,,2017,1117,ISTAT,2025-07-15
56_1045,territorio,,2015,27,ISTAT,2025-07-15
56_1045,territorio,,2016,21,ISTAT,2025-07-15
56_1045,territorio,,2017,20,ISTAT,2025-07-15
56_1045,territorio,,2015,27,ISTAT,2025-07-15
56_1045,territorio,,2016,21,ISTAT,2025-07-15
56_1045,territorio,,2017,20,ISTAT,2025-07-15
56_1045,territorio,,2015,374,ISTAT,2025-07-15
56_1045,territorio,,2016,450,ISTAT,2025-07-15
56_1045,territorio,,2017,534,ISTAT,2025-07-15
56_1045,territorio,,2015,374,ISTAT,2025-07-15
56_1045,territorio,,2016,450,ISTAT,2025-07-15
56_1045,territorio,,2017,534,ISTAT,2025-07-15
56_1045,territorio,,2015,185,ISTAT,2025-07-15
56_1045,territorio,,2016,182,ISTAT,2025-07-15
56_1045,territorio,,2017,184,ISTAT,2025-07-15
56_1045,territorio,,2015,185,ISTAT,2025-07-15
56_1045,territorio,,2016,182,ISTAT,2025-07-15
56_1045,territorio,,2017,184,ISTAT,2025-07-15
56_1045,territorio,,2015,6112,ISTAT,2025-07-15
56_1045,territorio,,2016,6516,ISTAT,2025-07-15
